epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3712.05,0.7168,0.57219,0.95312,0.80233,0.68016,0.74101,0.59269,0.71282,0.66752,0.94031,0.0005941,0.0005941,0.0005941
43,3798.04,0.70472,0.575,0.95295,0.81443,0.67929,0.74175,0.59511,0.72192,0.67082,0.94639,0.0005842,0.0005842,0.0005842
44,3882.39,0.6885,0.58175,0.95297,0.80178,0.66699,0.74276,0.60174,0.70428,0.67166,0.94711,0.0005743,0.0005743,0.0005743
45,3966.38,0.70364,0.56497,0.95165,0.80513,0.66722,0.73441,0.59736,0.70734,0.69524,0.94166,0.0005644,0.0005644,0.0005644
46,4051.66,0.70056,0.57768,0.94946,0.79237,0.67936,0.74547,0.61048,0.69694,0.67224,0.93882,0.0005545,0.0005545,0.0005545
47,4137.39,0.70138,0.56502,0.9502,0.84961,0.64666,0.73537,0.58585,0.71517,0.68222,0.94576,0.0005446,0.0005446,0.0005446
48,4223.66,0.69018,0.56412,0.94987,0.81746,0.67516,0.73481,0.60539,0.70373,0.67621,0.95008,0.0005347,0.0005347,0.0005347
49,4307.61,0.68585,0.57926,0.94156,0.81454,0.67636,0.73226,0.59417,0.70604,0.65704,0.94809,0.0005248,0.0005248,0.0005248
50,4397.91,0.6798,0.55244,0.94292,0.80867,0.66393,0.74209,0.60856,0.6955,0.67409,0.94103,0.0005149,0.0005149,0.0005149
51,4487.2,0.68393,0.54673,0.94352,0.8175,0.65836,0.73617,0.59647,0.72263,0.70052,0.94115,0.000505,0.000505,0.000505
52,4575.26,0.68039,0.5527,0.94366,0.83897,0.6443,0.72067,0.58396,0.69433,0.66204,0.93963,0.0004951,0.0004951,0.0004951
53,4666.24,0.6699,0.543,0.94074,0.81258,0.67164,0.74923,0.6091,0.69442,0.63941,0.94187,0.0004852,0.0004852,0.0004852
54,4757.66,0.67954,0.545,0.94332,0.79713,0.69905,0.74784,0.6117,0.69351,0.64494,0.94492,0.0004753,0.0004753,0.0004753
55,4849.61,0.6689,0.53715,0.94322,0.82908,0.66376,0.7415,0.61464,0.67669,0.66536,0.93309,0.0004654,0.0004654,0.0004654
56,4941.68,0.65449,0.52641,0.94295,0.80027,0.68438,0.7374,0.60267,0.69896,0.68519,0.94393,0.0004555,0.0004555,0.0004555
57,5036.57,0.66299,0.53813,0.9378,0.84406,0.64311,0.72816,0.59352,0.70491,0.68727,0.95308,0.0004456,0.0004456,0.0004456
58,5129.08,0.66195,0.53183,0.93879,0.80404,0.66707,0.74603,0.60372,0.70201,0.66815,0.9395,0.0004357,0.0004357,0.0004357
59,5217.06,0.65613,0.50728,0.93697,0.80927,0.68473,0.74757,0.61016,0.71286,0.65095,0.9507,0.0004258,0.0004258,0.0004258
